id,species,dbh,h
551,Picea abies,21.3,20.4
552,Picea abies,22.1,20.9
553,Picea abies,22.4,21.0
554,Picea abies,22.4,21.0
555,Picea abies,24.9,22.3
556,Picea abies,25.3,22.5
557,Pinus sylvestris,22.3,27.2
558,Pinus sylvestris,23.2,27.4
559,Pinus sylvestris,23.7,27.5
560,Pinus sylvestris,23.8,27.5
561,Pinus sylvestris,26.4,28.0
562,Pinus sylvestris,27.1,28.1
563,Pinus sylvestris,27.1,28.1
564,Pinus sylvestris,27.5,28.2
565,Pinus sylvestris,28.0,28.3
566,Pinus sylvestris,28.1,28.3
567,Pinus sylvestris,28.2,28.3
568,Pinus sylvestris,28.5,28.3
569,Pinus sylvestris,28.6,28.4
570,Pinus sylvestris,28.7,28.4
571,Pinus sylvestris,28.9,28.4
572,Pinus sylvestris,28.9,28.4
573,Pinus sylvestris,29.0,28.4
574,Pinus sylvestris,29.2,28.4
575,Pinus sylvestris,29.3,28.5
576,Pinus sylvestris,29.9,28.5
577,Pinus sylvestris,30.0,28.6
578,Pinus sylvestris,30.4,28.6
579,Pinus sylvestris,30.7,28.6
580,Pinus sylvestris,30.7,28.6
581,Pinus sylvestris,30.7,28.6
582,Pinus sylvestris,30.8,28.7
583,Pinus sylvestris,30.8,28.7
584,Pinus sylvestris,30.9,28.7
585,Pinus sylvestris,30.9,28.7
586,Pinus sylvestris,31.0,28.7
587,Pinus sylvestris,31.1,28.7
588,Pinus sylvestris,31.1,28.7
589,Pinus sylvestris,31.1,28.7
590,Pinus sylvestris,31.1,28.7
591,Pinus sylvestris,31.1,28.7
592,Pinus sylvestris,31.1,28.7
593,Pinus sylvestris,31.1,28.7
594,Pinus sylvestris,31.2,28.7
595,Pinus sylvestris,31.3,28.7
596,Pinus sylvestris,31.4,28.7
597,Pinus sylvestris,31.6,28.8
598,Pinus sylvestris,31.6,28.8
599,Pinus sylvestris,31.6,28.8
600,Pinus sylvestris,31.7,28.8
601,Pinus sylvestris,31.7,28.8
602,Pinus sylvestris,31.8,28.8
603,Pinus sylvestris,32.0,28.8
604,Pinus sylvestris,32.0,28.8
605,Pinus sylvestris,32.1,28.7
606,Pinus sylvestris,32.1,28.8
607,Pinus sylvestris,32.1,28.8
608,Pinus sylvestris,32.1,28.8
609,Pinus sylvestris,32.2,28.8
610,Pinus sylvestris,32.3,28.8
611,Pinus sylvestris,32.3,28.8
612,Pinus sylvestris,32.3,28.8
613,Pinus sylvestris,32.4,28.8
614,Pinus sylvestris,32.6,28.9
615,Pinus sylvestris,32.6,28.9
616,Pinus sylvestris,32.6,28.9
617,Pinus sylvestris,32.7,28.9
618,Pinus sylvestris,32.7,28.9
619,Pinus sylvestris,32.7,28.9
620,Pinus sylvestris,32.8,28.9
621,Pinus sylvestris,32.8,28.9
